,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
490,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 14:00:00,55468.4,54821.1,56200.0,54449.9,1070.61814256,N
491,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 13:00:00,56017.8,55468.4,56126.2,55212.6,463.41533418,N
492,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 12:00:00,56134.9,56017.8,56310.0,55463.8,467.56323662,N
493,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 11:00:00,56411.9,56134.9,56427.0,55870.8,266.07585612,N
494,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 10:00:00,56079.3,56424.1,56660.5,56079.3,347.76101918,N
495,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 09:00:00,55744.1,56079.2,56406.3,55744.1,300.16924246,N
496,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 08:00:00,55912.2,55743.3,56012.1,55561.3,324.94162138,N
497,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 07:00:00,56075.4,55912.2,56339.6,55695.9,214.49799601,N
498,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 06:00:00,55970.0,56075.3,56150.2,55853.1,170.10085528,N
499,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 05:00:00,55806.2,55970.0,56289.9,55773.0,357.37607056,N
500,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 04:00:00,55457.1,55806.2,55900.0,55206.2,397.88322169,N
501,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 03:00:00,55687.1,55457.0,55951.6,55254.8,699.04829546,N
502,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 02:00:00,55683.7,55687.0,56014.9,55437.9,916.46155532,N
503,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 01:00:00,55291.6,55677.8,55842.1,55095.9,1502.2080589,N
504,okex,BTC_USDT,BTC-USDT,60min,2021-05-04 00:00:00,57156.1,55282.9,57199.8,54563.1,2896.44198691,N
505,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 23:00:00,57287.6,57156.0,57474.0,56913.0,217.76877662,N
506,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 22:00:00,57103.9,57285.9,57419.8,56720.0,261.66480482,N
507,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 21:00:00,56769.9,57110.7,57157.7,56400.0,215.91423917,N
508,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 20:00:00,57566.9,56770.0,57566.9,56508.5,424.97452613,N
509,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 19:00:00,57758.8,57574.0,57758.8,57319.0,154.58538315,N
510,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 18:00:00,57961.3,57761.6,58082.7,57761.5,135.21653052,N
511,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 17:00:00,57685.8,57961.3,58174.9,57580.0,220.22411869,N
512,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 16:00:00,57599.8,57685.8,57942.0,57175.0,332.29170361,N
513,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 15:00:00,57761.6,57599.8,58024.6,57383.3,320.33721011,N
514,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 14:00:00,57677.4,57761.6,58199.3,57587.6,411.02761008,N
515,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 13:00:00,58570.3,57677.4,58643.1,57115.9,1433.19433897,N
516,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 12:00:00,58657.3,58570.3,58763.5,58276.9,469.27428953,N
517,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 11:00:00,58464.1,58657.3,58945.3,58464.0,343.53169992,N
518,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 10:00:00,58410.5,58464.0,58608.4,58342.0,287.90218408,N
519,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 09:00:00,58764.4,58410.4,58800.0,58288.3,532.14230901,N
520,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 08:00:00,58783.9,58764.5,58982.9,58608.2,443.14132702,N
521,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 07:00:00,57938.4,58779.7,58849.7,57815.3,893.58132278,N
522,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 06:00:00,57937.9,57938.4,58045.7,57860.1,255.37777982,N
523,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 05:00:00,57815.1,57937.8,58100.0,57790.0,217.32294753,N
524,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 04:00:00,57934.8,57815.1,58037.8,57710.2,243.26140214,N
525,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 03:00:00,58065.4,57941.5,58236.3,57781.6,248.88126094,N
526,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 02:00:00,58040.9,58065.4,58249.9,57871.5,284.2236914,N
527,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 01:00:00,57411.5,58040.9,58400.0,57362.9,477.26913919,N
528,okex,BTC_USDT,BTC-USDT,60min,2021-05-03 00:00:00,56577.7,57418.9,57599.9,56531.2,456.56831057,N
529,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 23:00:00,56390.0,56577.6,56603.7,56321.8,107.90749003,N
530,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 22:00:00,56651.1,56390.0,56743.1,56201.4,239.69911364,N
531,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 21:00:00,56996.8,56651.1,57149.7,56630.1,252.69062722,N
532,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 20:00:00,56846.9,56996.8,57015.1,56673.6,119.39712651,N
533,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 19:00:00,56845.2,56846.9,56950.0,56582.7,216.95909853,N
534,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 18:00:00,56780.9,56840.1,56904.7,56710.0,154.6535563,N
535,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 17:00:00,56559.7,56780.9,56848.8,56471.1,208.24677751,N
536,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 16:00:00,56597.9,56559.6,56780.0,56326.6,363.48597294,N
537,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 15:00:00,56839.4,56597.9,56857.7,56450.2,208.7690932,N
538,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 14:00:00,56679.4,56839.4,57009.9,56668.1,183.82621106,N
539,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 13:00:00,56840.8,56679.3,56897.8,56470.1,125.75299415,N
540,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 12:00:00,57099.9,56837.0,57280.3,56700.1,401.74347842,N
541,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 11:00:00,56829.8,57099.9,57100.0,56559.6,199.33193944,N
542,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 10:00:00,56450.0,56839.5,56913.0,56390.0,379.08150346,N
543,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 09:00:00,56526.0,56450.0,56646.1,56002.3,475.74298415,N
544,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 08:00:00,56639.3,56522.5,56769.9,56153.0,458.91268124,N
545,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 07:00:00,56878.2,56639.3,56989.2,56388.7,327.54732211,N
546,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 06:00:00,56900.6,56885.0,57034.6,56696.7,200.21991114,N
547,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 05:00:00,56900.0,56905.3,57109.9,56619.4,362.17284781,N
548,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 04:00:00,56465.0,56899.9,56934.1,56150.0,716.08085299,N
549,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 03:00:00,57664.1,56464.9,57695.0,56182.4,1247.19757103,N
550,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 02:00:00,57422.6,57664.0,57711.1,57422.6,233.24782106,N
551,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 01:00:00,57462.9,57424.1,57491.1,57280.1,210.16396894,N
552,okex,BTC_USDT,BTC-USDT,60min,2021-05-02 00:00:00,57800.2,57462.8,57925.3,57385.7,285.73738765,N
553,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 23:00:00,57655.7,57800.2,57957.2,57587.5,301.34179075,N
554,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 22:00:00,57449.5,57655.6,57723.7,57271.5,319.84541715,N
555,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 21:00:00,57688.1,57441.2,57700.1,57377.1,245.41961954,N
556,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 20:00:00,57765.5,57688.2,57886.6,57635.5,1584.05950945,N
557,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 19:00:00,57616.4,57765.6,58004.3,57450.1,500.20031297,N
558,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 18:00:00,57568.9,57615.2,57655.3,57408.1,199.40252918,N
559,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 17:00:00,57489.4,57568.9,57781.6,57489.4,391.38316012,N
560,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 16:00:00,57360.0,57489.4,57700.0,57217.2,2737.75381456,N
561,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 15:00:00,57421.1,57359.9,57513.3,57015.7,4613.50238238,N
562,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 14:00:00,57614.8,57421.0,57695.1,57215.6,608.96005297,N
563,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 13:00:00,57772.0,57607.0,58018.9,57534.6,333.22057993,N
564,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 12:00:00,57820.0,57772.0,58061.1,57683.5,261.3402315,N
565,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 11:00:00,57400.1,57819.9,57841.7,57400.0,199.49781183,N
566,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 10:00:00,57497.4,57400.0,57678.4,57346.9,127.62055767,N
567,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 09:00:00,57460.1,57497.4,57857.1,57151.0,419.47176702,N
568,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 08:00:00,57738.2,57470.9,57933.8,57461.3,334.74282324,N
569,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 07:00:00,57903.2,57740.5,58035.0,57610.3,361.49917451,N
570,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 06:00:00,58132.6,57903.2,58228.0,57840.9,201.850027,N
571,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 05:00:00,58063.3,58131.2,58427.6,57900.0,461.47659149,N
572,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 04:00:00,58177.9,58065.3,58244.0,57703.8,231.84927712,N
573,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 03:00:00,58105.5,58177.9,58254.2,58051.4,197.49721018,N
574,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 02:00:00,58460.9,58105.5,58460.9,57941.1,358.71906642,N
575,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 01:00:00,57809.1,58460.9,58476.3,57488.6,493.9814322,N
576,okex,BTC_USDT,BTC-USDT,60min,2021-05-01 00:00:00,57681.1,57822.1,58072.0,57398.4,615.4207349,N
577,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 23:00:00,57118.5,57681.1,57928.6,57104.6,494.4328729,N
578,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 22:00:00,56985.0,57118.5,57405.1,56885.6,253.38345686,N
579,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 21:00:00,56760.0,56991.7,57163.0,56659.4,209.46415554,N
580,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 20:00:00,57008.8,56764.9,57032.6,56408.9,361.61605687,N
581,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 19:00:00,56866.2,57015.5,57041.9,56798.1,217.27316035,N
582,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 18:00:00,56557.2,56866.2,57044.0,56525.7,335.44321923,N
583,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 17:00:00,56714.4,56543.0,56800.0,56289.4,304.65176505,N
584,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 16:00:00,57142.0,56720.0,57350.0,56539.4,644.78443747,N
585,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 15:00:00,55934.6,57142.1,57243.7,55934.6,1058.70356449,N
586,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 14:00:00,55963.9,55934.5,56291.4,55734.6,729.55977735,N
587,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 13:00:00,54656.6,55963.9,55963.9,54417.6,977.03601814,N
588,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 12:00:00,54237.8,54656.6,54730.7,54182.7,554.11739979,N
589,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 11:00:00,54174.7,54237.9,54376.8,54057.1,2010.93313157,N
590,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 10:00:00,54319.3,54174.7,54528.6,54112.5,229.6221944,N
591,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 09:00:00,54520.7,54331.1,54790.0,54315.8,323.01026884,N
592,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 08:00:00,54327.5,54526.0,54658.9,54112.9,316.88112772,N
593,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 07:00:00,54406.2,54327.5,54550.0,54243.5,312.39267986,N
594,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 06:00:00,54269.8,54412.3,54440.8,54166.8,291.03670613,N
595,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 05:00:00,54125.3,54269.8,54306.5,53913.7,337.44733313,N
596,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 04:00:00,53668.9,54125.3,54194.2,53668.8,506.78834611,N
597,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 03:00:00,53514.1,53668.9,53770.0,53424.8,331.71426382,N
598,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 02:00:00,53409.2,53514.1,53628.9,53327.3,324.03827054,N
599,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 01:00:00,53394.9,53397.4,53640.1,53206.9,270.84413912,N
600,okex,BTC_USDT,BTC-USDT,60min,2021-04-30 00:00:00,53557.0,53394.8,53839.2,53048.8,432.08151527,N
601,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 23:00:00,53392.1,53557.1,53661.1,53300.1,210.31618837,N
602,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 22:00:00,53338.3,53383.0,53441.2,53102.4,128.65952812,N
603,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 21:00:00,52988.0,53338.4,53370.1,52794.7,110.48155785,N
604,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 20:00:00,52867.8,52988.0,53339.7,52344.1,470.77544833,N
605,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 19:00:00,52935.2,52861.5,53028.9,52800.0,102.00939712,N
606,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 18:00:00,52753.9,52928.9,53026.0,52480.1,510.04354989,N
607,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 17:00:00,52964.3,52752.6,53186.6,52715.9,557.78893977,N
608,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 16:00:00,53715.5,52957.4,53819.4,52952.5,461.36444748,N
609,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 15:00:00,53683.0,53727.6,53908.2,53318.3,362.05444997,N
610,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 14:00:00,53604.1,53678.0,53920.4,53505.6,290.45567309,N
611,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 13:00:00,54321.7,53610.5,54399.5,53544.4,4850.48597996,N
612,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 12:00:00,54301.0,54321.7,54537.5,54166.7,3557.62303129,N
613,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 11:00:00,54429.7,54301.0,54558.1,54109.5,304.44966242,N
614,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 10:00:00,54551.3,54429.6,54685.0,54334.0,267.70652015,N
615,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 09:00:00,53934.0,54551.4,54737.3,53763.2,349.04409255,N
616,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 08:00:00,54460.0,53934.1,54467.0,53831.9,349.80980178,N
617,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 07:00:00,54383.9,54460.0,54488.6,54255.8,198.42899028,N
618,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 06:00:00,53903.1,54383.8,54492.8,53859.8,343.59547585,N
619,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 05:00:00,53568.3,53903.1,53983.6,53465.1,298.66300025,N
620,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 04:00:00,54269.7,53568.4,54269.7,53529.6,461.795448,N
621,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 03:00:00,54574.6,54269.7,54631.0,54087.1,227.30251924,N
622,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 02:00:00,54572.3,54574.6,54753.8,54312.1,237.2963282,N
623,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 01:00:00,54716.8,54572.2,54765.5,54432.9,162.71913849,N
624,okex,BTC_USDT,BTC-USDT,60min,2021-04-29 00:00:00,54844.4,54716.8,55194.1,54652.2,283.79282333,N
625,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 23:00:00,54474.3,54844.4,54881.2,54377.5,166.81565104,N
626,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 22:00:00,54802.5,54462.9,54840.1,54317.6,244.87275694,N
627,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 21:00:00,54367.0,54802.4,54886.6,54004.1,210.70466882,N
628,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 20:00:00,55409.9,54373.5,56426.9,54204.4,1481.69883135,N
629,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 19:00:00,54924.6,55407.6,55421.7,54717.2,178.35088609,N
630,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 18:00:00,54837.4,54924.5,55063.1,54637.0,160.02147841,N
631,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 17:00:00,54698.6,54837.5,54970.0,54525.4,148.30308421,N
632,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 16:00:00,54331.6,54698.6,54771.6,54235.3,285.68547777,N
633,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 15:00:00,54488.2,54331.5,54601.8,54100.0,292.87992542,N
634,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 14:00:00,54768.0,54488.2,54901.8,54458.7,285.93426778,N
635,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 13:00:00,55178.4,54768.0,55192.7,54611.0,384.30357643,N
636,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 12:00:00,54856.1,55178.4,55316.3,54759.2,301.19968013,N
637,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 11:00:00,54411.5,54853.8,55087.5,54411.5,434.83047147,N
638,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 10:00:00,54223.6,54411.6,54474.4,54110.1,236.53643855,N
639,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 09:00:00,54069.6,54223.6,54399.0,53928.5,351.13185822,N
640,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 08:00:00,54253.5,54069.5,54514.7,54064.3,189.40855339,N
641,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 07:00:00,54139.4,54258.3,54558.2,54044.0,410.29680401,N
642,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 06:00:00,54597.6,54139.5,54625.8,53809.8,741.50051332,N
643,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 05:00:00,54818.8,54597.6,54943.4,54422.7,239.45795165,N
644,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 04:00:00,54792.4,54818.8,54986.5,54625.0,243.97724128,N
645,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 03:00:00,55186.8,54792.4,55288.3,54791.7,359.11992599,N
646,okex,BTC_USDT,BTC-USDT,60min,2021-04-28 02:00:00,55483.2,55195.8,55623.0,55175.8,231.87911876,N
